token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
74232,25000.0,2026-05-05,91.85,90.5,91.95,1.45,127920,79560,16.55,0.268,0.0002,-11.7207,20.8931
74247,25300.0,2026-05-05,47.75,49.55,53.35,3.8,10790,13000,15.81,0.2165,0.0002,-10.3126,18.6257
74256,25500.0,2026-05-05,38.35,35.55,38.05,2.5,42185,33020,16.71,0.1799,0.0002,-9.1276,16.6351
74370,25900.0,2026-05-05,18.5,16.7,19.5,2.8,845,325,17.26,0.1203,0.0001,-6.8547,12.6965
74378,26000.0,2026-05-05,17.8,17.25,17.6,0.35,25285,11050,17.51,0.1138,0.0001,-6.5936,12.2221
74392,26100.0,2026-05-05,15.6,12.8,14.6,1.8,975,975,17.76,0.1027,0.0001,-6.0979,11.358
74398,26150.0,2026-05-05,15.5,12.1,14.95,2.85,1950,1365,17.94,0.0996,0.0001,-5.9655,11.1044
