token,strike,expiry,ltp,bid,ask,spread,day_volume,oi,iv,delta,gamma,theta,vega
71736,21000.0,2026-05-26,85.75,83.05,85.4,2.35,238875,392795,27.75,-0.0583,0.0001,-2.246,9.928
71768,21500.0,2026-05-26,113.0,113.0,114.95,1.95,266370,335205,25.86,-0.0963,0.0001,-3.2159,14.5508
71799,22000.0,2026-05-26,153.0,152.75,154.9,2.15,442520,553345,24.24,-0.1466,0.0001,-4.2084,19.5865
71860,22500.0,2026-05-26,217.25,215.25,217.25,2.0,431275,582855,22.86,-0.2124,0.0001,-5.1241,24.7442
71892,23000.0,2026-05-26,309.9,310.2,311.0,0.8,539435,873600,21.63,-0.2899,0.0002,-5.7639,29.1886
72068,23500.0,2026-05-26,440.95,438.15,440.35,2.2,443105,595530,20.46,-0.3767,0.0002,-5.9995,32.3855
